First,Middle,Last,Sex,Race,DoB,Age,Height,Weight,Percentile,PNum,SSN,Address,Town,State,Zip,Systolic,Diastolic,Risk_Factors,Disorders
Jude,Pxiqvzeq,Mcfadden,FEMALE,0,01/01/0001,2018,61,179,0.426437441813492,(916) 555-2438,000-23-2036,71190 Qajqfeqobeqeb LN.,Sacramento,California,95813,92,68,
Trent,Ujasajs,Burch,MALE,0,01/01/0001,2018,66,220,0.692969126432936,(000) 555-4657,000-43-2922,26491 Zjejoffx CT.,Visalia,California,93277,105,75,disease 1
Halina,Oqtegq,Khan,FEMALE,0,01/01/0001,2018,63,163,0.456497788727544,(000) 555-6883,000-85-9312,73671 Isxajs LN.,Modesto,California,95350,107,76,disease 2
Coralee,Vitjeziqnecx,Belcher,FEMALE,0,01/01/0001,2018,60,353,0.975771680191781,(602) 555-5187,000-47-2880,18405 Iqemqowqvvuw LN.,Phoenix,Arizona,85026,139,87,disease 3
Lenny,Fqeqawiqun,Yarbrough,MALE,WHITE,01/04/1955,62,68,169,0.154731483300018,(719) 555-0188,000-51-7548,1725 Paxqh PL.,Colorado Springs,Colorado,80903,107,76,disease 1
Loyd,Cajujvqw,Magana,MALE,WHITE,02/07/1974,43,69,205,0.404354882849056,(000) 555-9767,000-65-1937,37910 Qydxvapiqk LN.,Palmdale,California,93550,90,71,disease 2
Curtis,Jevevj,Greer,FEMALE,WHITE,09/30/1977,40,63,169,0.415448806279268,(000) 555-3908,000-97-2604,14444 Gqjgqaj CTR.,El Monte,California,91734,134,88,disease 3
Mardell,Zixocixql,Streeter,FEMALE,WHITE,10/22/1956,61,61,127,0.103070782160944,(651) 555-9141,000-28-1167,7339 Uqewcjopuzaqb CT.,Saint Paul,Minnesota,55109,168,87,disease 1
Chan,Qovepexwxvf,Beckman,FEMALE,WHITE,11/28/1981,35,61,198,0.591403033657235,(203) 555-2279,000-26-0849,66375 Jivezaxjigfx DR.,New Haven,Connecticut,06511,154,81,disease 2
Gail,Bxxijeqv,Waite,MALE,WHITE,05/05/1976,41,71,149,0.0509331479532396,(000) 555-0074,000-34-9009,61659 Aqafzqjwuvaf BLVD.,El Monte,California,91734,158,92,disease 3
Jamaal,Bxdx,Burton,MALE,WHITE,12/29/1963,53,72,186,0.285475710995811,(630) 555-8593,000-15-5964,54 Amxcxojg LN.,Aurora,Illinois,60505,133,93,disease 1
Wendell,Vfwexjs,Coon,MALE,WHITE,08/11/1984,33,69,210,0.669349917630611,(000) 555-3625,000-95-7960,52286 Qosqesqib PL.,Hampton,Virginia,23670,153,89,disease 1
Joaquina,Aqupqfjexquv,Bass,FEMALE,WHITE,10/29/1968,49,63,179,0.880765511863211,(000) 555-4388,000-53-8889,24565 Kxfixqhcx DR.,Denton,Texas,76201,123,106,disease 2
Mireille,Oqwajvxx,Westbrook,FEMALE,WHITE,10/14/1984,33,63,189,0.543488986733998,(910) 555-8072,000-58-8720,70457 Qzagx BLVD.,Jacksonville,Florida,32203,169,99,disease 2
Forest,Icojacaxejecojv,Womack,MALE,WHITE,09/02/1977,40,71,221,0.590441649565843,(217) 555-0627,000-31-1688,30496 Gqqet RD.,Springfield,Missouri,65801,163,87,disease 3
Santiago,Ihxbxaxx,Cormier,MALE,WHITE,04/13/2010,7,69,248,0.860078107847942,(000) 555-3806,000-11-9336,25613 Qohqjwxeqn ST.,Sioux Falls,South Dakota,57104,130,86,disease 3
Lonnie,Jufbuxuxx,Drake,FEMALE,WHITE,09/10/1978,39,66,194,0.400245463137553,(785) 555-7082,000-83-3483,99471 Evhuvp LN.,Topeka,Kansas,66603,170,85,disease 1
Jenine,Xxvtivobviq,Jack,FEMALE,WHITE,06/05/1949,68,62,195,0.754394106862108,(409) 555-6278,000-15-4890,36586 Vxeqx ST.,Beaumont,Texas,77707,145,80,disease 1
Georgetta,Ijiseqspx,Holmes,FEMALE,WHITE,11/29/1981,35,63,140,0.189727111316,(000) 555-5819,000-30-4447,26079 Qwfaxadxiqw LN.,Escondido,California,92025,146,105,disease 1
Crista,Oqopjvjzvx,Sadler,FEMALE,WHITE,10/13/1971,46,63,192,0.589197878050038,(205) 555-6918,000-77-4830,41492 Pexifxqn CT.,Jackson,Mississippi,39205,156,105,disease 1
Carol,Qwovojzqveb,Lewis,FEMALE,WHITE,09/30/1980,37,66,187,0.361844477187432,(000) 555-0942,000-82-7898,57586 Ogixjwvb AVE.,Berkeley,California,94704,146,98,disease 2
Tobie,Akxmx,Vera,FEMALE,WHITE,07/02/1973,44,64,187,0.62040232143737,(000) 555-7160,000-98-6415,61070 Jixqap ST.,Naperville,Illinois,60540,129,86,disease 2
Dan,Zjjicqmuhx,Byrd,FEMALE,WHITE,11/04/1977,40,60,194,0.727066772611989,(203) 555-0684,000-43-1912,50600 Qiweqok RD.,New Haven,Connecticut,06511,143,95,disease 2
