First,Middle,Last,Sex,Race,DoB,Age,Height,Weight,Percentile,PNum,SSN,Address,Town,State,Zip,Systolic,Diastolic,Risk_Factors,Disorders
Geoffrey,Qivzqepx,Sierra,MALE,WHITE,04/16/2000,17,66,170,0.243834615042474,(000) 555-2346,000-33-6301,96986 Qafqbeqob AVE.,Cape Coral,Florida,33990,145,82,disease 3
Deana,Jasajs,Burch,FEMALE,WHITE,05/07/1982,35,61,195,0.692969126432936,(000) 555-4657,000-43-2922,26491 Zjejoffx CT.,Visalia,California,93277,127,98,disease 1
Mike,Boxejzqawqy,Tyler,MALE,0,01/01/0001,2018,67,200,0.463498997553506,(218) 555-5799,000-26-2470,68826 Xjqhoqfigix BLVD.,Grand Rapids,Michigan,49501,123,89,disease 3
Maricruz,Foxqlfuxjis,Broussard,FEMALE,WHITE,01/18/1962,55,64,197,0.580606076454673,(000) 555-5951,000-66-0838,28799 Zqobx PL.,Gilbert,Arizona,85296,120,96,disease 3
Jeanie,Fxapx,Moya,FEMALE,0,01/01/0001,2018,64,187,0.652687765627992,(316) 555-1787,000-89-2277,76140 Cjeqj PL.,Wichita,Kansas,67276,121,81,disease 3
Sheryl,Uxxpxvqqay,Gentry,FEMALE,WHITE,03/25/1967,50,61,175,0.787252999274196,(000) 555-9966,000-19-0040,48212 Qitjfizq CTR.,North Las Vegas,Nevada,89030,127,86,disease 3
Wilbur,Apzqiggoqfx,Lange,MALE,WHITE,10/13/1981,36,64,196,0.39109578999215,(000) 555-0733,000-74-6587,71313 Kqivtiqoviqt ST.,Virginia Beach,Virginia,23450,148,83,disease 3
Rodney,Fxqat,Hood,FEMALE,WHITE,12/30/1969,47,71,213,0.658799023363701,(682) 555-6407,000-37-9011,10307 Ejfcov BLVD.,Fort Worth,Texas,76161,150,93,disease 2
Russell,Axxijevazx,Aguirre,MALE,WHITE,11/10/1972,44,70,145,0.0104308980230652,(814) 555-0473,000-35-3720,40258 Aqiwqgokixjq DR.,Warren,Michigan,48090,148,80,disease 1
Season,Owaxaqfzq,Hamlin,FEMALE,WHITE,11/20/1947,69,59,159,0.809473440906721,(000) 555-4723,000-23-0025,15427 Egxcejejeqfx CT.,Antioch,California,94509,141,81,disease 1
Claud,Qnvbigqavj,Cano,MALE,WHITE,01/26/1982,35,69,193,0.405547174216122,(000) 555-9000,000-23-5720,88571 Qenquj CT.,Providence,Rhode Island,02904,100,73,disease 2
Malvina,Pezjifqx,Cleveland,FEMALE,WHITE,07/08/1983,34,62,118,0.0940821501808502,(612) 555-4514,000-30-6419,94763 Qlaquxcvovx ST.,Minneapolis,Minnesota,55401,142,104,disease 3
Colleen,Ivimkx,Dotson,FEMALE,0,01/01/0001,2018,59,187,0.566103848910829,(765) 555-7513,000-68-2450,40079 Pzwxqzqf BLVD.,Richmond,Virginia,23232,133,82,disease 1
Mitchel,Fxgqopoz,Noel,FEMALE,WHITE,10/29/1961,56,67,239,0.847274908591949,(410) 555-1956,000-11-7933,5443 Zqjc DR.,Cambridge,Massachusetts,02139,135,86,disease 3
Maurice,Acajajq,Doss,MALE,WHITE,11/10/1972,44,67,182,0.168797163344324,(000) 555-8115,000-61-0627,42400 Jxgq CT.,Roseville,California,95661,168,89,disease 2
Lester,Ajsigxvtaqs,Cormier,FEMALE,WHITE,04/13/2010,7,69,248,0.860078107847942,(000) 555-3806,000-11-9336,25613 Qohqjwxeqn ST.,Sioux Falls,South Dakota,57104,130,86,disease 3
Hien,Buxxux,Mccarthy,FEMALE,0,01/01/0001,2018,61,168,0.400245463137553,(785) 555-7082,000-83-3483,85932 Jcezxufx LN.,Topeka,Kansas,66603,100,70,disease 1
Shaunna,Xjqc,Beavers,FEMALE,WHITE,12/06/1982,34,60,186,0.373913387572867,(915) 555-6794,000-75-5206,96138 Qolmixhx AVE.,Alpine,Texas,79830,146,87,disease 2
Mao,Cevojwiqicebx,Mackey,FEMALE,WHITE,03/05/1952,65,61,168,0.360975598309599,(000) 555-0663,000-08-0260,60088 Javvm CT.,Flom,Minnesota,56541,138,93,disease 1
Cary,Cvqunvetfox,Larsen,MALE,WHITE,06/02/1971,46,68,221,0.592563506540954,(734) 555-6171,000-65-5603,60448 Pzqhsixqen BLVD.,Ann Arbor,Michigan,48104,162,108,disease 1
Fred,Qpavt,Laird,FEMALE,WHITE,05/27/2006,11,64,207,0.436104572934138,(805) 555-7443,000-28-6691,78641 Vobvfwexijc BLVD.,Thousand Oaks,California,91362,133,90,disease 3
Abe,Qvgeqqad,Beyer,MALE,0,01/01/0001,2018,70,136,0.0485849843744628,(937) 555-9743,000-64-6258,43510 Iqziqsacx DR.,Dayton,Ohio,45401,93,73,
